GEOID,total_claims,total_payout,years_with_claims,Q100yr_best,Q10yr_gev,best_model,n_obs,impervious_pct,median_income,COUNTY_NAME,exposure_idx,hazard_idx,imperv_idx,vuln_idx,risk_index
48309,45.0,1388552.1400000001,5,191318.3608645769,22535514.17179772,LP3,115.0,5.632451417389489,59781,McLennan County,0.6,0.0,14.9,45.8,7.06
48437,0.0,0.0,0,10477.832367949557,1409328.7154042514,LP3,29.0,0.7489384204807608,40290,Swisher County,0.0,0.0,1.8,67.9,7.06
48081,0.0,0.0,0,31542.936710857306,2141611.2598323002,LP3,87.0,0.278044327898706,40230,Coke County,0.0,0.0,0.5,68.0,6.88
48303,9.0,101127.20000000001,4,4945.922928391702,170901.28715793145,LP3,13.0,5.961767966798832,61911,Lubbock County,0.1,0.0,15.8,44.2,6.83
48375,6.0,1142076.29,2,105733.25257475268,2232860.2611302924,LP3,79.0,2.7176982409277404,47974,Potter County,0.1,0.0,7.1,57.1,6.82
48485,8.0,224618.38,5,26028.197774963468,2302748.5398952523,LP3,87.0,5.246558773835916,58862,Wichita County,0.1,0.0,13.9,46.5,6.78
48327,1.0,40000.0,1,114790.29744158417,1162327.6859392137,LP3,91.0,0.2013350204047045,40945,Menard County,0.0,0.0,0.3,66.9,6.74
48137,0.0,0.0,0,16676.420822593383,1972.690982641429,LP3,12.0,0.1375857823158788,40809,Edwards County,0.0,0.0,0.1,67.1,6.72
48445,0.0,0.0,0,248.24322362133276,135.67930212080276,LP3,19.0,0.8401494383968371,42694,Terry County,0.0,0.0,2.0,64.1,6.71
48079,0.0,0.0,0,,,,,0.3888554482816732,41597,Cochran County,0.0,0.0,0.8,65.8,6.7
48321,282.0,4497291.58,5,87388.0249814293,15568997.293627242,LP3,68.0,1.058083203273242,56412,Matagorda County,3.6,0.0,2.6,48.5,6.68
48155,0.0,0.0,0,33992.26512539581,8720551.809647715,LP3,59.0,0.2824640417566297,41944,Foard County,0.0,0.0,0.5,65.3,6.6
48145,1.0,58640.89,1,118895.6312874508,3953624.2063449933,LP3,81.0,1.300287088559164,45172,Falls County,0.0,0.0,3.3,60.6,6.56
48247,0.0,0.0,0,,,,,0.2461329475225818,42292,Jim Hogg County,0.0,0.0,0.4,64.7,6.53
48249,3.0,0.0,2,29278.59624132762,640429.723524551,LP3,51.0,1.526992101765681,46626,Jim Wells County,0.0,0.0,3.9,58.7,6.46
48241,37.0,1718002.28,4,73372.80256931143,19785276.605547674,LP3,89.0,1.634621442766189,48818,Jasper County,0.5,0.0,4.2,56.1,6.44
48429,1.0,0.0,1,44776.91345424123,2616880.047547445,LP3,70.0,0.7685012371556245,44712,Stephens County,0.0,0.0,1.8,61.2,6.39
48191,0.0,0.0,0,107715.00896182859,21860348.419458855,LP3,52.0,0.3797674520515929,43873,Hall County,0.0,0.0,0.8,62.4,6.36
48387,0.0,0.0,0,32740.597467009145,18346.89933457427,LP3,29.0,0.6115180602822357,44583,Red River County,0.0,0.0,1.4,61.4,6.35
48405,1.0,0.0,1,28332.1955527825,2280367.7400826705,LP3,59.0,0.9815348059491332,45888,San Augustine County,0.0,0.0,2.4,59.7,6.33
48115,1.0,15000.0,1,,,,,0.730153435495271,45268,Dawson County,0.0,0.0,1.7,60.5,6.31
48353,2.0,8470.07,1,,,,,1.034238298374106,47437,Nolan County,0.0,0.0,2.5,57.7,6.14
48251,23.0,543907.39,5,12967.5453245635,1733082.3084958554,LP3,39.0,6.223015590571452,77058,Johnson County,0.3,0.0,16.5,35.5,6.14
48037,39.0,1459863.91,5,249664.13898147873,1703559.24800727,LP3,85.0,2.8024090416613023,56628,Bowie County,0.5,0.0,7.3,48.3,6.12
48403,0.0,0.0,0,37060.61217040408,1456227.025019262,LP3,24.0,0.8313864202283759,47061,Sabine County,0.0,0.0,2.0,58.2,6.12
48419,1.0,0.0,1,24898.337630920294,276.9218158337071,LP3,31.0,1.42903870275599,49231,Shelby County,0.0,0.0,3.6,55.6,6.1
48347,20.0,2272986.28,3,40222.932345989044,1075.203951388907,LP3,93.0,1.651967403347795,51153,Nacogdoches County,0.3,0.0,4.2,53.5,6.1
48315,5.0,33130.58,2,44786.693952321104,2556715.935695448,LP3,97.0,0.8713847868026431,48040,Marion County,0.1,0.0,2.1,57.0,6.06
48261,1.0,59328.490000000005,1,,,,,0.1618071306309916,45455,Kenedy County,0.0,0.0,0.2,60.2,6.05
48343,1.0,533.13,1,165115.02679288932,2107190.049917971,LP3,45.0,1.8908447015785277,51532,Morris County,0.0,0.0,4.8,53.1,6.03
48071,387.0,32010999.830000002,5,633.8709801824186,221.95217614900537,GEV,19.0,3.610383200535989,106103,Chambers County,5.0,0.0,9.5,25.8,6.0
48323,1.0,0.0,1,807792.3817204318,11714.947915245355,LP3,25.0,0.923462815003874,48497,Maverick County,0.0,0.0,2.2,56.4,5.97
48491,11.0,204315.57,5,120174.56133820688,12297516.375758171,LP3,91.0,8.168937783096458,102851,Williamson County,0.1,0.0,21.7,26.6,5.96
48125,0.0,0.0,0,,,,,0.3250765050402982,46638,Dickens County,0.0,0.0,0.6,58.7,5.96
48423,33.0,1019657.97,5,,,,,4.621064701999646,69053,Smith County,0.4,0.0,12.2,39.6,5.95
48025,3.0,37848.740000000005,2,72435.07652773664,1537603.1056476359,LP3,57.0,1.3230426442262149,50283,Bee County,0.0,0.0,3.3,54.4,5.94
48189,2.0,8362.13,1,15063.997262825136,28.47897665558809,LP3,55.0,1.4222205851734568,50721,Hale County,0.0,0.0,3.6,54.0,5.94
48409,58.0,749015.37,6,101860.74791679921,454534.5054471048,LP3,78.0,3.4943828136155712,63842,San Patricio County,0.7,0.0,9.1,42.9,5.94
48389,0.0,0.0,0,248056671540.46756,443022.3058392084,GEV,94.0,0.7381106501241008,57487,Reeves County,0.0,2.6,1.7,47.6,5.93
48385,1.0,26039.09,1,,,,,0.3266753159348704,46842,Real County,0.0,0.0,0.6,58.4,5.93
48441,7.0,11417.8,4,12282.884592547234,3474.5444141049884,LP3,41.0,3.689478230789733,61806,Taylor County,0.1,0.0,9.7,44.3,5.92
48293,12.0,176661.22,4,26708.42705560428,1580911.253867233,LP3,62.0,1.64810564196365,53102,Limestone County,0.2,0.0,4.2,51.6,5.87
48049,4.0,101353.23000000001,3,69097.39570945036,8917498.438904477,LP3,88.0,1.8773031375687583,53792,Brown County,0.1,0.0,4.8,50.9,5.85
48457,19.0,368437.14,4,47457.5227282874,2510734.951134283,LP3,107.0,1.0469342555002474,50898,Tyler County,0.2,0.0,2.6,53.8,5.85
48005,28.0,717444.87,6,46132.43780352291,1200.1609534663041,LP3,79.0,2.2893959711047254,57055,Angelina County,0.4,0.0,5.9,48.0,5.85
48133,9.0,190035.84000000003,2,,,,,1.6327541555465577,52902,Eastland County,0.1,0.0,4.1,51.7,5.83
48455,15.0,482155.17,2,21773.870927317756,447.51693474660425,LP3,27.0,1.0128435331248704,51165,Trinity County,0.2,0.0,2.5,53.5,5.81
48101,0.0,0.0,0,25019.819287138467,14602.239029808654,LP3,46.0,0.2516297865220606,47625,Cottle County,0.0,0.0,0.4,57.5,5.81
