GEOID,n_obs,Q2yr_gev,Q10yr_gev,Q50yr_gev,Q100yr_gev,gev_shape,aic_gev,Q2yr_lp3,Q10yr_lp3,Q50yr_lp3,Q100yr_lp3,aic_lp3,Q100yr_best,best_model
48041,66,939.9070624311804,53933086.35528189,20035127293501.14,4534356482663237.0,-7.765495964518822,1836.530438557096,53071.38486941018,129004.68255766996,159789.03073965528,166283.25313694248,183.75289901398,166283.25313694248,LP3
48043,66,1907.9811026989912,7393785.89176095,1258178655091.16,204724551364472.28,-7.292929223819284,1733.5018603148972,19414.199091532864,43206.16545361023,67503.53204851646,78524.42334073123,136.98726064638612,78524.42334073123,LP3
48045,26,31.391322283442925,1861948.9235444977,58208574271.171005,4626813285187.575,-6.266864413412129,487.8997654205373,1166.4782762210618,6883.184191481818,11663.634709928234,13104.649960058789,109.99812726737832,13104.649960058789,LP3
48049,88,48.37567873827328,8917498.438904477,497367375000.8459,50496109690444.555,-6.617377113062206,2237.528116257011,15159.13048360108,45267.52276790088,63830.446591011154,69097.39570945036,270.67693194200405,69097.39570945036,LP3
48051,96,59.51956812406807,3715976.8326358544,109949534873.48552,8538563649718.064,-6.233544419969093,2387.2423876795433,12033.945619952116,49731.66755988099,82018.19077368188,93031.16219621978,339.3270160984029,93031.16219621978,LP3
48053,56,38.23097660979173,1505559.9248597545,23152238926.597393,1363410709507.752,-5.837283774534654,1213.101758550072,2788.640576524825,11894.988673288932,21421.627377006756,25232.060689518963,198.43690818930745,25232.060689518963,LP3
48055,92,150.65285509343158,19300902.11721514,3311180221443.878,540575941813192.56,-7.297698816555037,2276.6365947670865,9835.771852369578,49364.33694813658,107204.46628156576,136435.60006956605,330.4558415283899,136435.60006956605,LP3
48061,42,354.32179739639815,3201812.6160065145,115316231895.09164,9731771537864.443,-6.352629467457344,1028.679593626438,13968.60280381428,28860.205850095634,31280.180094054187,31516.413449358304,96.41402031507856,31516.413449358304,LP3
48063,17,157.8864072704975,2591250.0298504625,108260063444.04924,9727773930702.918,-6.442474862970945,355.51860641967517,6355.67281785913,21199.787802996452,24250.10987235364,24558.24907814971,57.515562539380774,24558.24907814971,LP3
48067,40,89.06754938025718,3607210.010405196,187510649994.76517,18479162977559.973,-6.574754969680253,891.8567593732804,5293.939069873435,11399.905452844405,12420.632844630749,12521.251416225768,99.15882202977797,12521.251416225768,LP3
